OUT;SP;PV
100;50;13.08
100;50;13
100;50;13.88
100;50;15
100;50;16.52
100;50;18.19
100;50;19.93
100;50;21.69
100;50;23.33
100;50;24.92
100;50;26.46
100;50;27.88
100;50;29.12
100;50;30.33
100;50;31.51
100;50;32.58
100;50;33.46
100;50;34.4
100;50;35.04
100;50;35.59
100;50;36.16
100;50;36.76
100;50;37.27
100;50;37.72
100;50;38.11
100;50;38.66
100;50;38.93
100;50;39.37
100;50;39.75
100;50;40
100;50;40.15
0;30;13.04
0;30;13.82
100;30;14.93
100;30;16.17
100;30;17.65
100;30;19.22
100;30;20.96
100;30;22.56
100;30;24.15
98.1;30;25.6
8.54;30;27.02
78.6;30;28.24
55.71;30;29.44
29.56;30;30.49
17.42;30;31.32
0;30;31.87
0;30;32.23
0;30;32.47
0;30;32.53
0;30;32.47
0;30;32.3
0;30;32.09
0;30;31.84
11.82;30;31.52
56.59;30;31.2
0;30;30.88
0;30;30.58
98.71;30;30.24
15.54;30;29.99
25.75;30;29.63
37.16;30;29.24
44.36;30;29.01
54.21;30;28.95
54.98;30;29.12
51.03;30;29.33
40.9;30;29.75
3.64;30;30.06
31.45;30;30.36
23.89;30;30.37
27.99;30;30.24
29.91;30;30.12
3.74;30;29.99
41.05;30;29.79
47.65;30;29.63
